Approx Module;VVenC Profile;Video;Read BER;Write BER;QP;YUV-PSNR;Bitrate;Execution Time
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;27;39.703179999999996;1663.5529199999996;10088.098600000001;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;32;36.910819999999994;838.43294;8457.283800000001;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_05;1E_05;37;34.42492;438.35766;7088.917200000001;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;22;42.656060000000004;3429.08234;13051.0954;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;27;39.69646;1662.0564599999998;10333.674200000001;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;32;36.91369999999999;840.0847;8448.769799999998;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_06;1E_06;37;34.425439999999995;437.40708000000006;6999.4632;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;22;42.65504;3428.1788399999996;12949.017600000001;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;27;39.708220000000004;1661.2800000000002;10130.0654;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;32;36.9105;839.9529;8294.381;
orig_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;1E_07;1E_07;37;34.4237;437.01180000000005;7139.554800000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;22;39.3168;10448.7765;1970.5344;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;27;35.6537;5360.9647;1510.1317999999999;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;32;32.4894;2785.5294;1062.1988000000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;0;0;37;29.6997;1415.0118;741.6582000000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;22;39.31796000000001;10440.75764;13334.074799999999;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;27;35.6533;5372.192939999999;11153.3242;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;32;32.49198;2783.92472;9211.5294;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_03;1E_03;37;29.700719999999997;1413.9905800000001;7541.052000000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;22;39.31988;10439.58588;13259.256400000002;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;27;35.64952000000001;5366.2964600000005;11054.277;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;32;32.49198;2780.33882;9138.824800000002;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_04;1E_04;37;29.706619999999997;1413.86352;7489.0416;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;22;39.32178;10435.9812;13433.592;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;27;35.64756;5365.49176;11063.246599999999;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;32;32.49812;2783.17176;9171.184000000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_05;1E_05;37;29.7098;1413.92942;7551.1412;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;22;39.3155;10438.90352;13598.070600000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;27;35.6472;5369.058800000001;11050.0996;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;32;32.4901;2783.74118;9132.445199999998;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_06;1E_06;37;29.70272;1413.98118;7459.689600000001;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;22;39.317359999999994;10447.44942;13497.1298;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;27;35.6537;5360.9647;11002.0684;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;32;32.49246000000001;2785.83058;9117.2918;
orig_inter_approx;randomaccess_medium;PartyScene_832x480_50;1E_07;1E_07;37;29.699400000000004;1414.9365;7624.964599999999;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;22;39.3948;4851.8682;2334.9546;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;27;36.5861;2332.32;1392.129;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;32;33.8727;1183.4118;901.7958000000001;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;0;0;37;31.195299999999996;584.0329;625.2142;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;22;39.38496;4850.6145799999995;21289.429;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;27;36.578599999999994;2332.5797599999996;17681.668800000003;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;32;33.85896;1185.64518;14827.995;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_03;1E_03;37;31.196260000000002;586.1788199999999;12791.6978;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;22;39.38912;4844.32094;21638.158799999997;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;27;36.58542;2328.37554;17738.498;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;32;33.86266;1185.216;15016.642000000002;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_04;1E_04;37;31.199;587.1698600000001;12922.6522;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;22;39.389959999999995;4849.030580000001;21586.0776;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;27;36.58962;2331.90494;17911.654599999998;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;32;33.86524;1181.472;15095.878200000001;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_05;1E_05;37;31.205540000000003;586.60518;12863.708799999999;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;22;39.388079999999995;4851.34588;21550.032;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;27;36.585300000000004;2331.37978;17820.516;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;32;33.861900000000006;1182.5082200000002;15045.526600000001;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_06;1E_06;37;31.1949;585.1030599999999;12798.6986;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;22;39.39352;4851.32328;21706.9568;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;27;36.585860000000004;2330.99858;17784.607;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;32;33.87292;1183.3242599999999;14870.053;
orig_inter_approx;randomaccess_medium;RaceHorsesC_832x480_30;1E_07;1E_07;37;31.195299999999996;584.0329;12740.4858;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;22;41.4473;4138.56;773.603;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;27;39.0853;2221.8071;520.6994000000001;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;32;36.4482;1252.1506;352.28900000000004;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;0;0;37;33.7283;702.5224;264.146;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;22;41.441340000000004;4128.59856;832.1784;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;27;39.09096000000001;2225.5510600000002;582.7186;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;32;36.446479999999994;1252.67012;416.9012000000001;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_03;1E_03;37;33.76086;704.08094;308.64680000000004;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;22;41.444100000000006;4130.92518;854.3486;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;27;39.09114;2222.24188;598.8478;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;32;36.45366;1253.8051799999998;436.47479999999996;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_04;1E_04;37;33.74868000000001;703.7534400000001;327.7237999999999;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;22;41.44728;4137.165180000001;852.3208000000001;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;27;39.0981;2223.5746;586.1701999999999;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;32;36.45826000000001;1253.9520200000002;442.57339999999994;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_05;1E_05;37;33.73742;703.3920199999999;331.95840000000004;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;22;41.447500000000005;4138.616480000001;854.2837999999999;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;27;39.0853;2221.8127400000003;596.1098;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;32;36.456900000000005;1253.94634;446.946;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_06;1E_06;37;33.7283;702.5224;335.0436;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;22;41.44752;4138.57128;857.1864000000002;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;27;39.0853;2221.8071;595.3754;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;32;36.4482;1252.1506;445.27160000000003;
pred_inter_approx;randomaccess_medium;BQMall_832x480_60;1E_07;1E_07;37;33.7283;702.5224;336.2484;
pred_inter_approx;randomaccess_medium;BasketballDrill_832x480_50;0;0;22;42.6553;3428.1411999999996;938.1914;
